file	line	property	value	kind	selectors	atRules	classification	reason
server/public/css/domains.css	629	width	calc(var(--bracket-pair-gap) - 2px)	geometry	.bracket-children > .bracket-node::after | .bracket-children > .bracket-match::after		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/domains.css	630	height	2px	geometry	.bracket-children > .bracket-node::after | .bracket-children > .bracket-match::after		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/domains.css	643	width	2px	geometry	.bracket-children::before		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/domains.css	653	height	2px	geometry	.bracket-children::after		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/domains.css	774	width	20px	geometry	.check-row input[type='checkbox']		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/domains.css	775	height	20px	geometry	.check-row input[type='checkbox']		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/domains.css	918	height	8px	geometry	.vote-bar-track		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/kiosk.css	541	box-shadow	0 4px 24px rgba(91, 140, 255, 0.45)	color	.kiosk-broadcast		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/kiosk.css	609	max-width	min(100%, 1200px)	geometry	.kiosk-game-content canvas		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/kiosk.css	610	max-height	min(100%, 700px)	geometry	.kiosk-game-content canvas		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/kiosk.css	616	max-width	1000px	geometry	.kiosk-game-question		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	12	max-width	340px	geometry	.login-card		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	41	background	rgba(6, 9, 18, 0.38)	color	.countdown-overlay		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	53	min-width	min(420px, calc(100vw - var(--space-8)))	geometry	.countdown-player-identity		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	173	width	calc(100% - 32px)	geometry	.toast-container		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	174	max-width	420px	geometry	.toast-container		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	207	background	rgba(6, 9, 18, 0.55)	color	.modal-backdrop		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	227	max-width	480px	geometry	.modal		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	572	background	radial-gradient(circle at center, rgba(91, 140, 255, 0.1), transparent 58%), var(--bg)	color	.seating-plan		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	616	min-height	150px	geometry	.seating-table-center		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	622	border	2px solid rgba(145, 99, 245, .45)	color	.seating-table-center		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	624	background	linear-gradient(135deg, rgba(145, 99, 245, .2), rgba(91, 140, 255, .12))	color	.seating-table-center		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	735	background	rgba(91, 140, 255, .2)	color	.seating-seat.is-drag-target		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	742	background	rgba(91, 140, 255, .2)	color	.seating-seat.is-selected | .seating-pool-player.is-selected		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	750	background	rgba(91, 140, 255, .12)	color	.seating-player-pool.is-drag-target		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/overlays.css	946	min-height	64px	geometry	.music-pairing-code		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	190	background	radial-gradient(640px 420px at 88% -8%, rgba(145, 99, 245, 0.13), transparent 65%),\n    radial-gradient(720px 520px at -12% 108%, rgba(91, 140, 255, 0.09), transparent 65%),\n    var(--bg)	color	body		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	207	scrollbar-color	rgba(139, 147, 167, 0.35) transparent	color	html		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	213	width	9px	geometry	::-webkit-scrollbar		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	214	height	9px	geometry	::-webkit-scrollbar		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	220	background	rgba(139, 147, 167, 0.3)	color	::-webkit-scrollbar-thumb		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	228	background	rgba(139, 147, 167, 0.55)	color	::-webkit-scrollbar-thumb:hover		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	253	width	1px	geometry	.visually-hidden		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	254	height	1px	geometry	.visually-hidden		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	301	background	rgba(23, 30, 46, 0.7)	color	.topbar | .bottom-nav	@supports ((backdrop-filter: blur(1px)) or (-webkit-backdrop-filter: blur(1px)))	static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	314	height	2px	geometry	.topbar::after		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	601	filter	drop-shadow(0 0 6px rgba(145, 99, 245, 0.5))	color	.topbar-logo		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	608	box-shadow	var(--shadow), 0 0 52px rgba(145, 99, 245, 0.45)	color	.login-logo		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	644	max-width	164px	geometry	.event-context	@media (max-width: 639px)	static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	838	min-height	24px	geometry	.event-poll-option-badges		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	939	min-height	28px	geometry	.event-poll-vote-person		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1032	max-width	300px	geometry	.event-context		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1054	width	min(100%, 560px)	geometry	.battleship-grid		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1179	width	8px	geometry	.nav-btn.needs-setup .nav-icon::after		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1180	height	8px	geometry	.nav-btn.needs-setup .nav-icon::after		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1274	max-width	720px	geometry	.bottom-nav-inner		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1371	width	18px	geometry	:root[data-layout-mode='desktop'] .desktop-nav-icon .ui-icon	@media (min-width: 1280px)	static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1372	height	18px	geometry	:root[data-layout-mode='desktop'] .desktop-nav-icon .ui-icon	@media (min-width: 1280px)	static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1379	width	8px	geometry	:root[data-layout-mode='desktop'] .desktop-nav-btn.needs-setup .desktop-nav-icon::after	@media (min-width: 1280px)	static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1380	height	8px	geometry	:root[data-layout-mode='desktop'] .desktop-nav-btn.needs-setup .desktop-nav-icon::after	@media (min-width: 1280px)	static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1409	max-width	120px	geometry	.nav-btn		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1451	width	24px	geometry	.list-row-icon .ui-icon		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1452	height	24px	geometry	.list-row-icon .ui-icon		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1455	width	22px	geometry	.nav-icon .ui-icon		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1456	height	22px	geometry	.nav-icon .ui-icon		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1459	width	20px	geometry	.icon-btn .ui-icon		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	1460	height	20px	geometry	.icon-btn .ui-icon		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	1464	width	15px	geometry	.badge .ui-icon | .chip .ui-icon		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	1465	height	15px	geometry	.badge .ui-icon | .chip .ui-icon		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	1474	width	46px	geometry	.nav-btn::before		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1475	height	27px	geometry	.nav-btn::before		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1477	background	rgba(91, 140, 255, 0.17)	color	.nav-btn::before		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1492	filter	drop-shadow(0 0 6px rgba(91, 140, 255, 0.55))	color	.nav-btn.active .nav-icon		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1543	box-shadow	0 2px 14px rgba(91, 140, 255, 0.28)	color	.btn-primary		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	1617	border-color	rgba(91, 140, 255, 0.65)	color	input[type='text']:focus | input[type='password']:focus | input[type='number']:focus | input[type='url']:focus | input[type='search']:focus | input[type='datetime-local']:focus | select:focus | textarea:focus		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	1618	box-shadow	0 0 0 3px rgba(91, 140, 255, 0.16)	color	input[type='text']:focus | input[type='password']:focus | input[type='number']:focus | input[type='url']:focus | input[type='search']:focus | input[type='datetime-local']:focus | select:focus | textarea:focus		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	1794	width	44px	geometry	input[type='color']		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	1795	height	44px	geometry	input[type='color']		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	1859	height	11px	geometry	.number-stepper-btn .ui-icon		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	2707	width	88px	geometry	.dt-time-input		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	3115	box-shadow	inset 0 1px 0 rgba(255, 255, 255, 0.03)	color	.card		component-owner	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	3137	border-color	rgba(91, 140, 255, 0.55)	color	button.card:hover	@media (hover: hover)	static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	3355	width	18px	geometry	.game-track-indicator .ui-icon		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	3356	height	18px	geometry	.game-track-indicator .ui-icon		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	3463	width	14px	geometry	.skill-suggestion-chip .ui-icon		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	3464	height	14px	geometry	.skill-suggestion-chip .ui-icon		permanent-variant	Literal candidate; ownership outcome is recorded separately for every selector in the findings inventory.
server/public/css/style.css	3833	width	12px	geometry	.avatar-dot		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
server/public/css/style.css	3834	height	12px	geometry	.avatar-dot		static-false-candidate	Literal measure/color outside the detected control subject inventory; candidate remains counted, without a component violation.
