file	line	selector	callKey	property	value	code	initialClassification	classification	registryId	contract	owner	resolution
server/public/css/arcade.css	251	.arcade-mode-toggle		box-shadow	inset 0 0 0 1px var(--border)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	255	.arcade-mode-toggle-btn		min-width	0	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	256	.arcade-mode-toggle-btn		min-height	var(--control-height)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	258	.arcade-mode-toggle-btn		border-radius	var(--radius-full)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	259	.arcade-mode-toggle-btn		padding-block	0	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	260	.arcade-mode-toggle-btn		padding-inline	var(--space-2)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	261	.arcade-mode-toggle-btn		font-size	var(--font-size-xs)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	263	.arcade-mode-toggle-btn		line-height	var(--control-line-height)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	268	.arcade-mode-toggle-btn		white-space	nowrap	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	286	.arcade-lobby-create-row > .btn		width	100%	css-ownership	violation	permanent-variant	arcade-create-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	287	.arcade-lobby-create-row > .btn		min-width	0	css-ownership	violation	permanent-variant	arcade-create-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	310	.arcade-lobby-create-row > .arcade-mode-toggle		width	100%	css-ownership	violation	permanent-variant	arcade-create-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	310	.arcade-lobby-create-row > .btn		width	100%	css-ownership	violation	permanent-variant	arcade-create-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	331	.arcade-mode-toggle		width	var(--arcade-lobby-mode-toggle-width)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	335	.arcade-mode-toggle-btn		padding-inline	var(--space-3)	css-ownership	component-owner	component-owner	arcade-segment	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	338	.arcade-lobby-create-row > .btn		width	auto	css-ownership	violation	permanent-variant	arcade-create-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	340	.arcade-lobby-create-row > .btn		min-width	var(--arcade-lobby-mode-width)	css-ownership	violation	permanent-variant	arcade-create-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	398	.arcade-lobby-free-row .btn		width	100%	css-ownership	violation	permanent-variant	arcade-free-slot-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	400	.arcade-lobby-free-row .btn		padding-top	var(--space-1)	css-ownership	violation	violation	button	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual vertical padding; retain only the separately registered layout width.
server/public/css/arcade.css	401	.arcade-lobby-free-row .btn		padding-bottom	var(--space-1)	css-ownership	violation	violation	button	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual vertical padding; retain only the separately registered layout width.
server/public/css/arcade.css	425	.arcade-lobby-target-score input		height	var(--space-7)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	425	.arcade-lobby-target-score select		height	var(--space-7)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	426	.arcade-lobby-target-score input		padding-top	var(--space-1)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	426	.arcade-lobby-target-score select		padding-top	var(--space-1)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	427	.arcade-lobby-target-score input		padding-bottom	var(--space-1)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	427	.arcade-lobby-target-score select		padding-bottom	var(--space-1)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	437	.arcade-lobby-setting-options .check-row		padding	var(--space-2) var(--space-3)	css-ownership	violation	permanent-variant	arcade-setting-row	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	453	.arcade-lobby-entry-actions > .btn		min-width	0	css-ownership	violation	permanent-variant	arcade-entry-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/arcade.css	511	.scribble-swatch		width	26px	css-ownership	component-owner	component-owner	scribble-tools	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	512	.scribble-swatch		height	26px	css-ownership	component-owner	component-owner	scribble-tools	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	513	.scribble-swatch		border-radius	50%	css-ownership	component-owner	component-owner	scribble-tools	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	515	.scribble-swatch		box-shadow	inset 0 0 0 1px rgba(0, 0, 0, 0.25)	css-ownership	component-owner	component-owner	scribble-tools	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	517	.scribble-swatch		padding	0	css-ownership	component-owner	component-owner	scribble-tools	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	524	.scribble-size-btn		width	30px	css-ownership	component-owner	component-owner	scribble-tools	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	525	.scribble-size-btn		height	30px	css-ownership	component-owner	component-owner	scribble-tools	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	526	.scribble-size-btn		border-radius	50%	css-ownership	component-owner	component-owner	scribble-tools	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	556	.scribble-word-choice-btn		font-size	var(--font-size-lg)	css-ownership	component-owner	component-owner	scribble-word-choice	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	558	.scribble-word-choice-btn		padding	var(--space-3)	css-ownership	component-owner	component-owner	scribble-word-choice	components/controls.md#strukturziele-mit-44-px	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	837	.arcade-toolbar .btn		min-height	var(--control-height)	css-ownership	permanent-variant	permanent-variant	arcade-toolbar-buttons	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	843	.arcade-mute-btn		width	var(--tap-target-size)	css-ownership	component-owner	component-owner	arcade-mute	components/controls.md#tokens-und-einzeilige-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	844	.arcade-mute-btn		min-height	var(--control-height)	css-ownership	component-owner	component-owner	arcade-mute	components/controls.md#tokens-und-einzeilige-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	845	.arcade-mute-btn		padding	0	css-ownership	component-owner	component-owner	arcade-mute	components/controls.md#tokens-und-einzeilige-controls	public/css/arcade.css	Existing registered owner/variant; unchanged.
server/public/css/arcade.css	1069	.arcade-player-tile.is-winner		box-shadow	0 0 0 1px rgba(145, 99, 245, 0.22), 0 0 28px rgba(145, 99, 245, 0.24)	css-ownership	violation	component-owner	arcade-player-surface	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/arcade.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	132	.event-calendar-action-buttons .btn		min-width	0	css-ownership	violation	permanent-variant	event-calendar-actions	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	133	.event-calendar-action-buttons .btn		white-space	normal	css-ownership	violation	permanent-variant	event-calendar-actions	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	178	.event-excuse-actions .btn		min-width	0	css-ownership	violation	permanent-variant	event-excuse-actions	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	179	.event-excuse-actions .btn		white-space	normal	css-ownership	violation	permanent-variant	event-excuse-actions	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	291	.payment-paypal-button		width	var(--space-7)	css-ownership	component-owner	component-owner	payment-controls	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	292	.payment-paypal-button		height	var(--space-7)	css-ownership	component-owner	component-owner	payment-controls	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	293	.payment-paypal-button		padding	var(--space-1)	css-ownership	component-owner	component-owner	payment-controls	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	302	.event-participant-toggle		min-width	0	css-ownership	component-owner	component-owner	food-disclosure	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	350	.event-card-actions .btn		min-width	0	css-ownership	violation	permanent-variant	event-card-action-width	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	392	.player-card		padding	var(--space-4)	css-ownership	component-owner	component-owner	player-card	components/controls.md#strukturziele-mit-44-px	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	399	button.player-card		width	100%	css-ownership	component-owner	component-owner	player-card	components/controls.md#strukturziele-mit-44-px	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	401	button.player-card		font-size	var(--font-size-md)	css-ownership	component-owner	component-owner	player-card	components/controls.md#strukturziele-mit-44-px	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	430	input[type='range']		width	100%	css-ownership	violation	component-owner	native-range	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	449	.skill-row-slider		height	6px	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	450	.skill-row-slider		border-radius	var(--radius-full)	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	455	.skill-row-slider::-webkit-slider-thumb		width	20px	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	456	.skill-row-slider::-webkit-slider-thumb		height	20px	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	457	.skill-row-slider::-webkit-slider-thumb		border-radius	50%	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	460	.skill-row-slider::-webkit-slider-thumb		box-shadow	0 1px 3px rgba(0, 0, 0, 0.5)	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	464	.skill-row-slider::-moz-range-thumb		width	16px	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	465	.skill-row-slider::-moz-range-thumb		height	16px	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	466	.skill-row-slider::-moz-range-thumb		border-radius	50%	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	469	.skill-row-slider::-moz-range-thumb		box-shadow	0 1px 3px rgba(0, 0, 0, 0.5)	css-ownership	component-owner	component-owner	rating-slider	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	517	.tournament-team-skill-header input		width	auto	css-ownership	violation	permanent-variant	tournament-skill-field	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	519	.tournament-team-skill-header input		min-width	0	css-ownership	violation	permanent-variant	tournament-skill-field	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	530	.team-player		padding	var(--space-1) 0	css-ownership	component-owner	component-owner	player-card	components/controls.md#strukturziele-mit-44-px	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	531	.team-player		min-width	0	css-ownership	component-owner	component-owner	player-card	components/controls.md#strukturziele-mit-44-px	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	672	.bracket-team-row		min-height	0	css-ownership	component-owner	component-owner	bracket-row	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	676	.bracket-team-row		padding	0 var(--space-2)	css-ownership	component-owner	component-owner	bracket-row	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	680	.bracket-team-row		font-size	var(--font-size-sm)	css-ownership	component-owner	component-owner	bracket-row	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	683	.bracket-team-row		width	100%	css-ownership	component-owner	component-owner	bracket-row	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	687	.bracket-team-row:first-child		border-radius	var(--radius) var(--radius) 0 0	css-ownership	component-owner	component-owner	bracket-row	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	690	.bracket-team-row:last-child		border-radius	0 0 var(--radius) var(--radius)	css-ownership	component-owner	component-owner	bracket-row	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	693	.bracket-match.has-result-action .bracket-team-row		padding-right	calc(var(--space-7) + var(--space-3))	css-ownership	violation	permanent-variant	bracket-action-gutter	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/domains.css	Complete the concrete registry ownership/variant entry; product declaration remains unchanged.
server/public/css/domains.css	732	input[type='number'].bracket-score-input		width	calc(var(--space-7) + var(--space-7))	css-ownership	component-owner	component-owner	result-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	732	input[type='number'].tournament-score-input		width	calc(var(--space-7) + var(--space-7))	css-ownership	component-owner	component-owner	result-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	733	input[type='number'].bracket-score-input		height	var(--space-7)	css-ownership	component-owner	component-owner	result-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	733	input[type='number'].tournament-score-input		height	var(--space-7)	css-ownership	component-owner	component-owner	result-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	735	input[type='number'].bracket-score-input		padding	0 var(--space-7) 0 var(--space-2)	css-ownership	component-owner	component-owner	result-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	735	input[type='number'].tournament-score-input		padding	0 var(--space-7) 0 var(--space-2)	css-ownership	component-owner	component-owner	result-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	737	input[type='number'].bracket-score-input		font-size	var(--font-size-sm)	css-ownership	component-owner	component-owner	result-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	737	input[type='number'].tournament-score-input		font-size	var(--font-size-sm)	css-ownership	component-owner	component-owner	result-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	743	.bracket-result-edit		width	var(--space-7)	css-ownership	component-owner	component-owner	result-actions	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	743	.bracket-score-submit		width	var(--space-7)	css-ownership	component-owner	component-owner	result-actions	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	743	.tournament-result-edit		width	var(--space-7)	css-ownership	component-owner	component-owner	result-actions	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	743	.tournament-score-submit		width	var(--space-7)	css-ownership	component-owner	component-owner	result-actions	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	744	.bracket-result-edit		height	var(--space-7)	css-ownership	component-owner	component-owner	result-actions	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
server/public/css/domains.css	744	.bracket-score-submit		height	var(--space-7)	css-ownership	component-owner	component-owner	result-actions	components/controls.md#zusatzklassen-und-zusammengesetzte-controls	public/css/domains.css	Existing registered owner/variant; unchanged.
